ticker,Company,ISIN,Pays,Marche,Secteur,Industrie
PVL,"Plastiques du Val de Loire",FR0013252186,FR,EURONEXT,"Consumer Cyclical","Auto Parts"
PWG,"Prodways Group SA",FR0012613610,FR,EURONEXT,Industrials,"Specialty Industrial Machinery"
RBO,"Roche Bobois S.A.",FR0013344173,FR,EURONEXT,"Consumer Cyclical","Furnishings, Fixtures & Appliances"
RBT,"Robertet SA",FR0000039091,FR,EURONEXT,"Basic Materials",Chemicals
RIB,"Riber S.A.",FR0000075954,FR,EURONEXT,Technology,"Semiconductor Equipment & Materials"
SABE,"Saint Jean Groupe Societe anonyme",FR0000060121,FR,EURONEXT,"Consumer Defensive","Packaged Foods"
SAFOR,NaN,FR0012452746,FR,EURONEXT,NaN,NaN
SCHP,"Seche Environnement SA",FR0000039109,FR,EURONEXT,Industrials,"Waste Management"
SEFER,"SergeFerrari Group SA",FR0011950682,FR,EURONEXT,Industrials,"Building Products & Equipment"
SESL,"SES-imagotag Societe Anonyme",FR0010282822,FR,EURONEXT,Technology,"Electronic Components"
SFPI,"GROUPE SFPI SA",FR0004155000,FR,EURONEXT,Industrials,"Specialty Industrial Machinery"
SIGHT,"GenSight Biologics S.A.",FR0013183985,FR,EURONEXT,Healthcare,Biotechnology
SII,"SII (Societe pour l'Informatique Industrielle) Societe Anonyme",FR0000074122,FR,EURONEXT,Technology,"Information Technology Services"
SOG,"Sogeclair SA",FR0000065864,FR,EURONEXT,Industrials,"Aerospace & Defense"
SOI,"Soitec S.A.",FR0013227113,FR,EURONEXT,Technology,"Semiconductor Equipment & Materials"
SPEL,"Fonciere Volta",FR0000053944,FR,EURONEXT,"Real Estate","Real Estate Services"
SQI,"SQLI SA",FR0011289040,FR,EURONEXT,Technology,"Information Technology Services"
SRP,"SRP Groupe S.A.",FR0013006558,FR,EURONEXT,"Consumer Cyclical","Internet Retail"
SSI,"SuperSonic Imagine SA",FR0010526814,FR,EURONEXT,Healthcare,"Medical Devices"
STNT,NaN,FR0010949404,FR,EURONEXT,NaN,NaN
